MSN,YYYYMM,Value,Description
CLEIEUS,199902,138.081,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199903,145.169,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199904,137.504,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199905,144.891,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199906,157.377,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199907,179.42,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199908,173.707,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199909,154.874,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199910,147.523,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199911,142.095,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199912,154.387,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199913,1836.415,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200001,172.903,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200002,155.75,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200003,152.347,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200004,137.295,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200005,151.232,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200006,165.771,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200007,172.816,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200008,179.476,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200009,158.627,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200010,156.631,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200011,155.015,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200012,169.514,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200013,1927.376,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200101,171.379,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200102,146.187,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200103,151.068,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200104,136.46,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200105,148.784,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200106,159.457,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200107,176.898,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200108,180.673,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200109,153.202,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200110,146.64,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200111,142.367,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200112,156.713,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200113,1869.826,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200201,159.356,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200202,139.482,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200203,146.594,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200204,138.353,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200205,147.956,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200206,161.561,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200207,179.351,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200208,177.391,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200209,162.681,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200210,156.051,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200211,153.318,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200212,167.785,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200213,1889.879,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200301,175.518,Coal Electric Power Sector CO2 Emissions
CLEIEUS,200302,152.63,Coal Electric Power Sector CO2 Emissions
